date,kilolitres
2023-01-01,1974
2023-01-02,1711
2023-01-03,1533
2023-01-04,1719
2023-01-05,1767
2023-01-06,1832
2023-01-07,1476
2023-01-08,1580
2023-01-09,1816
2023-01-10,2044
2023-01-11,2182
2023-01-12,2241
2023-01-13,2328
2023-01-14,1964
2023-01-15,2009
2023-01-16,1968
2023-01-17,1826
2023-01-18,1795
2023-01-19,1528
2023-01-20,1633
2023-01-21,1539
2023-01-22,1492
2023-01-23,1919
2023-01-24,1662
2023-01-25,1957
2023-01-26,1757
2023-01-27,1347
2023-01-28,1681
2023-01-29,1412
2023-01-30,1206
2023-01-31,1081
2023-02-01,1116
2023-02-02,1155
2023-02-03,1316
2023-02-04,1185
2023-02-05,1384
2023-02-06,1717
2023-02-07,1248
2023-02-08,1263
2023-02-09,1402
2023-02-10,1339
2023-02-11,1310
2023-02-12,1247
2023-02-13,1232
2023-02-14,1421
2023-02-15,1598
2023-02-16,1621
2023-02-17,1986
2023-02-18,2050
2023-02-19,1777
2023-02-20,1749
2023-02-21,1937
2023-02-22,1745
2023-02-23,1890
2023-02-24,1638
2023-02-25,1666
2023-02-26,1849
2023-02-27,1739
2023-02-28,2106
2023-03-01,2404
2023-03-02,2563
2023-03-03,2087
2023-03-04,1853
2023-03-05,2036
2023-03-06,1716
2023-03-07,1813
2023-03-08,1527
2023-03-09,1628
2023-03-10,1615
2023-03-11,1552
2023-03-12,1857
2023-03-13,1892
2023-03-14,1796
2023-03-15,1630
2023-03-16,1479
2023-03-17,1621
2023-03-18,1387
2023-03-19,1322
2023-03-20,934
2023-03-21,1218
2023-03-22,1251
2023-03-23,1317
2023-03-24,1183
2023-03-25,1166
2023-03-26,1723
2023-03-27,1686
2023-03-28,1437
2023-03-29,1407
2023-03-30,1314
2023-03-31,1263
2023-04-01,1195
2023-04-02,1271
2023-04-03,1569
2023-04-04,1532
2023-04-05,1884
2023-04-06,1744
2023-04-07,2117
2023-04-08,1664
2023-04-09,1716
2023-04-10,1861
2023-04-11,1759
2023-04-12,1356
2023-04-13,1841
2023-04-14,1877
2023-04-15,1909
2023-04-16,1957
2023-04-17,2040
2023-04-18,2470
2023-04-19,2437
2023-04-20,1766
2023-04-21,1796
2023-04-22,2129
2023-04-23,1570
2023-04-24,1583
2023-04-25,1530
2023-04-26,1357
2023-04-27,1766
2023-04-28,1538
2023-04-29,1663
2023-04-30,1868
2023-05-01,1820
2023-05-02,1445
2023-05-03,1476
2023-05-04,1290
2023-05-05,1337
2023-05-06,1266
2023-05-07,1062
2023-05-08,1095
2023-05-09,1146
2023-05-10,986
2023-05-11,1294
2023-05-12,1399
2023-05-13,1635
2023-05-14,1315
2023-05-15,1198
2023-05-16,1182
2023-05-17,1238
2023-05-18,1237
2023-05-19,1061
2023-05-20,1376
2023-05-21,1234
2023-05-22,1304
2023-05-23,1781
2023-05-24,1820
2023-05-25,1935
2023-05-26,1682
2023-05-27,1660
2023-05-28,1559
2023-05-29,1821
2023-05-30,1572
2023-05-31,1513
2023-06-01,1805
2023-06-02,1581
2023-06-03,1851
2023-06-04,2248
2023-06-05,1895
2023-06-06,2389
2023-06-07,2122
2023-06-08,1589
2023-06-09,2051
2023-06-10,1789
2023-06-11,1562
2023-06-12,1439
2023-06-13,1613
2023-06-14,1511
2023-06-15,1593
2023-06-16,1547
2023-06-17,1722
2023-06-18,2118
2023-06-19,1471
2023-06-20,1488
2023-06-21,1464
2023-06-22,1344
2023-06-23,1274
2023-06-24,1151
2023-06-25,1202
2023-06-26,1220
2023-06-27,1101
2023-06-28,1452
2023-06-29,1685
2023-06-30,1648
2023-07-01,1232
2023-07-02,1117
2023-07-03,1412
2023-07-04,1218
2023-07-05,1389
2023-07-06,1196
2023-07-07,1259
2023-07-08,1480
2023-07-09,1390
2023-07-10,1797
2023-07-11,1982
2023-07-12,1907
2023-07-13,1785
2023-07-14,1625
2023-07-15,1784
2023-07-16,1688
2023-07-17,1719
2023-07-18,1573
2023-07-19,1772
2023-07-20,1793
2023-07-21,1698
2023-07-22,2325
2023-07-23,2485
2023-07-24,2412
2023-07-25,2015
2023-07-26,1809
2023-07-27,1831
2023-07-28,1713
2023-07-29,1759
2023-07-30,1400
